"Variable","Type","NA_Count","Range_or_Levels","Min_Max_or_Levels"
"Progression","Categorical",4,1,"0"
"PFS_time.","Numeric",77,NA,"[NA, NA]"
"Recurrence","Categorical",4,2,"1, 0"
"RFS_time","Numeric",49,96,"[5, 101]"
"FUtime_days.","Numeric",4,4680,"[120, 4800]"
"Age","Numeric",0,64,"[24, 88]"
"Sex","Categorical",0,2,"F, M"
"Tumor.stage","Categorical",0,1,"Ta"
"Tumor.grade","Categorical",0,1,"Low"
"Concomitant.CIS","Categorical",0,1,"No"
"BCG","Categorical",0,1,"0"
"UROMOL2021.classification","Categorical",0,3,"Class_1, Class_2b, Class_3"
"exprs","Numeric",0,17.286,"[2.633, 19.919]"
"knowles_ID","Categorical",0,77,"MK66, MK103, MK239, MK390, MK419, ..."
